provider_sk,provider_name,specialty,department_name,service_line,hospital,claim_count,gross_charges,total_payments,denied_claims,avg_charge_lag_days,open_ar,denial_rate,avg_charge_per_claim
6289934550351967488,"Christopher Hall , MD",Anesthesiology,Internal Medicine,Ambulatory,HOSP_B,104,701039.35,490753.07,10,5.048076923076923,86827.94,0.0962,6740.76
1516290036823339102,"Danielle Johnson , MD",Internal Medicine,Radiology,Ancillary,HOSP_A,102,700378.81,364773.98,14,5.490196078431373,109089.93,0.1373,6866.46
3982374301131809320,"Christopher Lopez , MD",Family Medicine,Cardiology,Ambulatory,HOSP_B,113,695879.73,346657.59,15,5.964601769911504,185510.51,0.1327,6158.23
5716924140055346016,"Laura Valencia , DO",Emergency Medicine,Cardiology,Ambulatory,HOSP_A,97,695379.90,481005.57,9,5.247422680412371,60226.21,0.0928,7168.86
265249930887838512,"Leslie Walton , MD",Physical Medicine,Radiology,Ancillary,HOSP_A,110,695141.05,406315.49,12,4.872727272727273,144902.67,0.1091,6319.46
6164981845986870100,"Wanda Santos , NP",Orthopedic Surgery,Cardiology,Ambulatory,HOSP_B,107,689717.60,460832.83,7,5.5327102803738315,77932.65,0.0654,6445.96
6776892854958300855,"John Caldwell , NP",Cardiology,Obstetrics,Inpatient,HOSP_B,103,689311.69,476728.98,5,5.533980582524272,51148.23,0.0485,6692.35
3129056412232509148,"Joseph Wright , MD",Internal Medicine,Emergency Department,Emergency,HOSP_A,121,689240.77,429876.30,14,5.1735537190082646,67784.16,0.1157,5696.20
8506665642249269948,"Robert Ramirez , MD",Obstetrics & Gynecology,Obstetrics,Inpatient,HOSP_A,109,688317.77,491687.78,7,5.137614678899083,24234.53,0.0642,6314.84
8743630088318009242,"Amber Blair , MD",Physical Medicine,Laboratory,Ancillary,HOSP_A,104,686760.46,492714.63,8,5.846153846153846,52564.91,0.0769,6603.47
7897857540157577335,"Daniel Burton , MD",Emergency Medicine,Internal Medicine,Ambulatory,HOSP_A,112,685842.27,491429.38,10,5.4375,35665.28,0.0893,6123.59
3590583993248526391,"Spencer Henderson , PA-C",Emergency Medicine,Orthopedic Surgery,Surgical,HOSP_B,89,684115.73,463852.96,11,5.46067415730337,56480.63,0.1236,7686.69
2717635811777691709,"Daniel Graham , MD",Radiology,Internal Medicine,Ambulatory,HOSP_A,115,683984.87,463281.41,14,5.2956521739130435,72620.40,0.1217,5947.69
7239015366018340051,"Brenda Hurst , MD",Orthopedic Surgery,Obstetrics,Inpatient,HOSP_A,111,679854.99,474047.29,16,5.63963963963964,47954.06,0.1441,6124.82
7843678882398270462,"John Foster , MD",Radiology,Cardiology,Ambulatory,HOSP_A,101,679414.42,506633.21,7,5.594059405940594,28523.72,0.0693,6726.88
246026438178700134,"Leslie Adams , DO",Cardiology,Internal Medicine,Ambulatory,HOSP_A,113,678294.97,369720.00,12,6.097345132743363,191482.44,0.1062,6002.61
206850479961432757,"Nicholas Galloway , MD",Cardiology,Orthopedic Surgery,Surgical,HOSP_B,97,677153.58,492794.24,5,5.876288659793815,26249.94,0.0515,6980.96
6072347153870221283,"Elizabeth Mcmillan , MD",Orthopedic Surgery,Internal Medicine,Ambulatory,HOSP_A,126,673771.30,374273.36,24,5.76984126984127,121103.23,0.1905,5347.39
4783652413326628325,"Charles Ware , MD",Emergency Medicine,Obstetrics,Inpatient,HOSP_A,127,667496.26,376651.06,20,5.732283464566929,75808.70,0.1575,5255.88
2816723155700809410,"Tasha Valencia , MD",Family Medicine,Laboratory,Ancillary,HOSP_A,106,667286.11,351445.06,20,6.3584905660377355,39540.40,0.1887,6295.15
3118316286348176355,"Linda Wolfe , MD",General Surgery,Laboratory,Ancillary,HOSP_A,104,666539.63,478304.96,15,5.394230769230769,55018.68,0.1442,6409.03
2169705359843139952,"Darlene Ross , MD",Family Medicine,Radiology,Ancillary,HOSP_A,107,662779.41,356470.06,10,6.5327102803738315,79509.16,0.0935,6194.20
7700482332139490539,"Jeffrey Velasquez , NP",Emergency Medicine,Cardiology,Ambulatory,HOSP_B,97,662459.15,388888.55,6,5.865979381443299,139075.24,0.0619,6829.48
7895197798866921205,"Mary Aguilar , DO",Family Medicine,Emergency Department,Emergency,HOSP_A,116,660540.76,403810.44,16,6.387931034482759,102430.50,0.1379,5694.32
6269207528622366673,"Charles Ellis , MD",General Surgery,Orthopedic Surgery,Surgical,HOSP_B,96,657724.99,369132.58,17,5.552083333333333,78351.40,0.1771,6851.30
4674696740845362329,"Robert Silva , DO",Internal Medicine,Internal Medicine,Ambulatory,HOSP_B,106,657191.66,435617.70,8,5.745283018867925,98149.79,0.0755,6199.92
5233342869766910301,"Pamela Sanchez , PA-C",Radiology,Emergency Department,Emergency,HOSP_A,90,654611.82,464708.15,9,5.555555555555555,84010.95,0.1,7273.46
6880364657562510913,"Andrew Lee , MD",General Surgery,Obstetrics,Inpatient,HOSP_A,110,654141.25,447264.98,10,5.7272727272727275,45787.76,0.0909,5946.74
7129264612537570109,"Melinda Martin , DO",Radiology,Internal Medicine,Ambulatory,HOSP_B,99,652563.18,369962.68,13,5.373737373737374,119143.97,0.1313,6591.55
8934460730015862202,"Craig Ramirez , NP",Cardiology,Orthopedic Surgery,Surgical,HOSP_B,108,649298.14,419792.34,9,5.5,42722.04,0.0833,6012.02
8589081196657189853,"Jeremy Johnson , NP",Orthopedic Surgery,Physical Therapy,Ambulatory,HOSP_A,100,649227.12,437229.67,7,6.05,71347.13,0.07,6492.27
7122973468351912336,"Matthew Moore , PA-C",Emergency Medicine,Orthopedic Surgery,Surgical,HOSP_A,116,648863.47,464839.16,8,5.043103448275862,53053.56,0.069,5593.65
630911902004663975,"Rodney Lewis , NP",Cardiology,Laboratory,Ancillary,HOSP_B,92,647321.47,432052.39,18,5.586956521739131,60992.33,0.1957,7036.10
864174335728397611,"Chelsea Hernandez , MD",Anesthesiology,Emergency Department,Emergency,HOSP_B,113,646900.19,455523.78,14,6.070796460176991,54656.23,0.1239,5724.78
5193081150142081100,"Thomas Pierce , MD",General Surgery,Obstetrics,Inpatient,HOSP_A,114,639312.12,480321.77,9,6.043859649122807,15200.41,0.0789,5608.00
8563441812720880253,"Kenneth Fowler , NP",Internal Medicine,Internal Medicine,Ambulatory,HOSP_A,103,636213.80,450094.02,7,5.980582524271845,35467.66,0.068,6176.83
660706763962227412,"Wendy Rice , MD",Cardiology,Radiology,Ancillary,HOSP_B,107,635580.14,436530.59,11,5.4766355140186915,66760.04,0.1028,5940.00
2184135603035379786,"Earl Anderson , MD",Family Medicine,Physical Therapy,Ambulatory,HOSP_A,121,628862.37,397737.94,17,5.636363636363637,82476.56,0.1405,5197.21
5555833518299191260,"Mike Moore , PA-C",Internal Medicine,Orthopedic Surgery,Surgical,HOSP_A,105,626879.15,376964.04,17,5.619047619047619,79818.35,0.1619,5970.28
5524833039616558366,"Destiny Smith , NP",Obstetrics & Gynecology,Radiology,Ancillary,HOSP_A,103,623674.57,470039.96,5,6.174757281553398,27381.06,0.0485,6055.09
7989550275212105478,"Michele Jones , MD",Family Medicine,Internal Medicine,Ambulatory,HOSP_B,101,621355.59,403663.51,13,4.851485148514851,58926.65,0.1287,6152.04
3774023377847347397,"Steven Torres , MD",Obstetrics & Gynecology,Internal Medicine,Ambulatory,HOSP_A,108,621086.21,425892.14,9,5.546296296296297,59419.94,0.0833,5750.80
3887440862238718078,"Joseph Mahoney , DO",Family Medicine,Laboratory,Ancillary,HOSP_A,99,620968.62,409507.61,9,5.898989898989899,88306.09,0.0909,6272.41
6955830721662015153,"James West , NP",Internal Medicine,Obstetrics,Inpatient,HOSP_B,97,620769.38,389476.30,11,6.030927835051546,70275.10,0.1134,6399.68
6749435177486015378,"Tanya House , DO",General Surgery,Laboratory,Ancillary,HOSP_B,93,618293.03,411495.26,9,5.698924731182796,62541.40,0.0968,6648.31
6746599092897494264,"Tanya Riley , PA-C",General Surgery,Internal Medicine,Ambulatory,HOSP_B,96,616337.92,425438.70,13,5.291666666666667,38368.60,0.1354,6420.19
5922435137103350957,"Bryan James , NP",Anesthesiology,Laboratory,Ancillary,HOSP_B,97,615448.35,416674.67,13,5.814432989690721,45206.06,0.134,6344.83
9027918932949081281,"Kimberly Moreno , MD",General Surgery,Cardiology,Ambulatory,HOSP_A,105,611115.71,383831.72,18,5.666666666666667,91558.43,0.1714,5820.15
9176531253396824028,"Lindsay Blair , PA-C",Family Medicine,Orthopedic Surgery,Surgical,HOSP_B,99,607258.70,431527.17,10,5.737373737373737,23115.62,0.101,6133.93
3997885013240324373,"Whitney Hicks , MD",Internal Medicine,Emergency Department,Emergency,HOSP_B,105,604340.16,395287.92,15,5.466666666666667,93132.50,0.1429,5755.62
5385409521664998474,"Joe Wilson , DO",Cardiology,Laboratory,Ancillary,HOSP_B,101,601389.60,365972.34,9,6.2772277227722775,90278.33,0.0891,5954.35
3161946005849929387,"Emily Evans , MD",Anesthesiology,Orthopedic Surgery,Surgical,HOSP_A,104,597480.21,388103.30,11,4.923076923076923,75896.35,0.1058,5745.00
3883215333564179618,"Monica Garrison , NP",Obstetrics & Gynecology,Laboratory,Ancillary,HOSP_B,95,596422.21,359160.53,12,5.7894736842105265,30414.80,0.1263,6278.13
2720536834145771173,"Jessica Nunez , MD",Cardiology,Radiology,Ancillary,HOSP_B,98,595503.89,357303.84,9,4.969387755102041,83378.05,0.0918,6076.57
2506911949195080351,"Thomas Mueller , DO",Orthopedic Surgery,Physical Therapy,Ambulatory,HOSP_B,87,595032.62,317973.62,9,5.816091954022989,50332.30,0.1034,6839.46
699961619729395101,"Nicole Suarez , DO",Emergency Medicine,Internal Medicine,Ambulatory,HOSP_B,107,594563.63,382003.27,8,5.4672897196261685,71329.97,0.0748,5556.67
7608018520850381481,"Brooke Leonard , DO",General Surgery,Emergency Department,Emergency,HOSP_B,117,593512.43,387004.34,9,5.264957264957265,39816.56,0.0769,5072.76
8465386175627631504,"Todd Lewis , MD",General Surgery,Cardiology,Ambulatory,HOSP_A,105,592404.19,468265.94,12,6.304761904761905,11225.27,0.1143,5641.94
5319595288467761605,"Brian Silva , DO",Orthopedic Surgery,Obstetrics,Inpatient,HOSP_A,114,590918.61,381775.82,13,5.771929824561403,59378.62,0.114,5183.50
3767098442556942517,"Andrea Williams , MD",Obstetrics & Gynecology,Emergency Department,Emergency,HOSP_A,107,590394.28,381214.97,10,5.654205607476635,58850.92,0.0935,5517.70
6137354897730574121,"Rebecca Gardner , DO",Obstetrics & Gynecology,Emergency Department,Emergency,HOSP_A,108,589124.79,419734.84,6,5.583333333333333,36512.94,0.0556,5454.86
7452544003442204225,"Michelle Wright , DO",Obstetrics & Gynecology,Emergency Department,Emergency,HOSP_A,97,588708.54,335556.34,2,5.577319587628866,107904.80,0.0206,6069.16
8532036365870996399,"Chad Welch , PA-C",Physical Medicine,Laboratory,Ancillary,HOSP_A,111,586341.65,365561.86,13,6.666666666666667,88984.32,0.1171,5282.36
6819511399792259523,"Rita Harrell , MD",Radiology,Orthopedic Surgery,Surgical,HOSP_B,108,585551.64,381131.78,16,4.2592592592592595,74529.95,0.1481,5421.77
1234298898107413640,"Jeffrey Lawrence , MD",Internal Medicine,Cardiology,Ambulatory,HOSP_B,95,582911.87,406031.40,5,5.326315789473684,43049.41,0.0526,6135.91
3351295404660799762,"Nancy Baker , MD",Anesthesiology,Physical Therapy,Ambulatory,HOSP_B,85,580391.12,311300.82,11,5.964705882352941,139121.24,0.1294,6828.13
4769665508832269216,"Tracey Garcia , MD",Orthopedic Surgery,Orthopedic Surgery,Surgical,HOSP_A,102,580378.18,353841.80,8,5.764705882352941,97711.25,0.0784,5689.98
8530921931167794928,"Collin Jordan , DO",Family Medicine,Radiology,Ancillary,HOSP_A,118,576840.67,404851.75,15,5.516949152542373,32557.58,0.1271,4888.48
4126419636020484131,"Kyle Nolan , NP",Cardiology,Orthopedic Surgery,Surgical,HOSP_B,102,576450.77,328531.08,16,5.666666666666667,98630.24,0.1569,5651.48
7891396029765616705,"Veronica Bowman , MD",Internal Medicine,Cardiology,Ambulatory,HOSP_A,108,575073.14,336595.02,25,5.435185185185185,119507.08,0.2315,5324.75
464050750800035592,"Jeremy Whitehead , MD",Radiology,Cardiology,Ambulatory,HOSP_A,106,565352.78,323501.65,17,5.216981132075472,82878.47,0.1604,5333.52
1907206143854085362,"Jerry Robinson , NP",Family Medicine,Orthopedic Surgery,Surgical,HOSP_A,109,563657.89,377150.70,9,5.091743119266055,82319.23,0.0826,5171.17
3993234413080446065,"Aaron Nguyen , NP",Obstetrics & Gynecology,Orthopedic Surgery,Surgical,HOSP_A,107,563486.60,317982.38,10,5.514018691588785,81540.30,0.0935,5266.23
3260075003355693819,"Joshua Walker , MD",Anesthesiology,Internal Medicine,Ambulatory,HOSP_B,100,563410.53,376075.81,12,5.18,72284.99,0.12,5634.11
4319772124885410272,"John Leblanc , DO",Family Medicine,Emergency Department,Emergency,HOSP_B,98,562879.87,373045.64,10,5.040816326530612,58805.84,0.102,5743.67
4671428037032229645,"Richard Oliver , DO",General Surgery,Radiology,Ancillary,HOSP_A,114,562601.80,367663.32,10,5.964912280701754,83969.75,0.0877,4935.10
4990164546551635298,"Michelle Cherry , MD",General Surgery,Obstetrics,Inpatient,HOSP_B,102,561933.51,374115.13,7,5.794117647058823,92764.96,0.0686,5509.15
3951803659817844462,"Jeffery Wagner , MD",Emergency Medicine,Internal Medicine,Ambulatory,HOSP_B,98,561733.93,382580.78,9,5.357142857142857,21202.06,0.0918,5731.98
182855830023278741,"Rodney Hill , PA-C",Physical Medicine,Emergency Department,Emergency,HOSP_B,96,560453.51,405057.38,3,5.09375,47019.58,0.0313,5838.06
6305311953206729079,"Eric Spears , NP",Physical Medicine,Physical Therapy,Ambulatory,HOSP_A,97,560044.15,347377.02,13,6.082474226804123,76676.51,0.134,5773.65
6126865249607266179,"Adam Wise , MD",Family Medicine,Physical Therapy,Ambulatory,HOSP_B,91,556111.13,349816.17,10,5.472527472527473,55015.83,0.1099,6111.11
6269602054359394679,"Christopher Williams , DO",Anesthesiology,Orthopedic Surgery,Surgical,HOSP_A,117,553894.55,355145.26,13,6.102564102564102,68077.01,0.1111,4734.14
4105487589495099435,"Katie Anderson , MD",Orthopedic Surgery,Radiology,Ancillary,HOSP_A,120,552959.28,337555.81,14,5.558333333333334,104637.69,0.1167,4607.99
555051306244045552,"Lindsey Lee , NP",Anesthesiology,Obstetrics,Inpatient,HOSP_B,90,552926.10,426903.89,10,5.9,16364.22,0.1111,6143.62
5307563239502227571,"Joyce Arnold , MD",Emergency Medicine,Orthopedic Surgery,Surgical,HOSP_B,97,548652.65,359538.51,11,5.546391752577319,85565.21,0.1134,5656.21
2612943403384910315,"Tracy Whitehead , MD",Obstetrics & Gynecology,Radiology,Ancillary,HOSP_B,96,545917.64,382147.74,9,5.479166666666667,22862.70,0.0938,5686.64
1503941262456382962,"Daniel Tran , PA-C",Radiology,Physical Therapy,Ambulatory,HOSP_A,110,541926.77,318636.97,11,6.254545454545455,111816.70,0.1,4926.61
5772843764702534621,"Anthony Gonzalez , NP",Radiology,Emergency Department,Emergency,HOSP_B,93,541227.00,368884.58,6,6.548387096774194,77839.48,0.0645,5819.65
6434334328640836714,"Vincent White , MD",Obstetrics & Gynecology,Radiology,Ancillary,HOSP_A,112,541020.78,310367.81,18,5.794642857142857,108125.89,0.1607,4830.54
3978616528078289449,"Kyle Brown , DO",Internal Medicine,Physical Therapy,Ambulatory,HOSP_A,107,540929.57,354908.05,15,5.327102803738318,49208.33,0.1402,5055.42
5508654653938965480,"Tammy Ramirez , NP",Cardiology,Physical Therapy,Ambulatory,HOSP_A,98,538703.31,383024.35,8,6.081632653061225,34007.72,0.0816,5496.97
3445352679904552301,"Angela Higgins , MD",Physical Medicine,Cardiology,Ambulatory,HOSP_A,121,538455.31,398155.45,7,6.0,6135.38,0.0579,4450.04
3763474422305437221,"Richard Brown , MD",Internal Medicine,Cardiology,Ambulatory,HOSP_A,88,538083.04,265997.94,11,5.818181818181818,118508.16,0.125,6114.58
3124099951821606426,"Reginald Robinson , DO",Radiology,Obstetrics,Inpatient,HOSP_B,92,537765.32,383074.41,7,5.173913043478261,39261.36,0.0761,5845.28
5724614360252469635,"Melanie Munoz , MD",Physical Medicine,Laboratory,Ancillary,HOSP_A,114,537458.81,327271.56,14,6.149122807017544,74133.84,0.1228,4714.55
5673247665099906649,"Daniel Hamilton , PA-C",Obstetrics & Gynecology,Radiology,Ancillary,HOSP_A,103,536244.31,389899.44,9,5.368932038834951,14192.13,0.0874,5206.26
3946241451233291265,"Chad Hodges , MD",Anesthesiology,Obstetrics,Inpatient,HOSP_B,92,532725.49,389790.67,6,6.141304347826087,16286.88,0.0652,5790.49
1456066371115337778,"Yvette Huff , DO",Orthopedic Surgery,Emergency Department,Emergency,HOSP_B,106,529904.14,325745.75,11,4.8584905660377355,112597.01,0.1038,4999.10
5609269214622681532,"Richard Morgan , PA-C",Cardiology,Internal Medicine,Ambulatory,HOSP_B,98,527219.27,314090.52,15,5.551020408163265,44166.65,0.1531,5379.79
7823997715463528392,"Laura Perez , MD",Internal Medicine,Emergency Department,Emergency,HOSP_B,101,526900.85,321835.34,13,5.534653465346534,76619.32,0.1287,5216.84
1627876911945715896,"Jason Anderson , PA-C",Internal Medicine,Internal Medicine,Ambulatory,HOSP_B,85,526682.33,324523.69,4,6.682352941176471,90856.66,0.0471,6196.26
8218399911268139087,"Christopher Davis , MD",Cardiology,Emergency Department,Emergency,HOSP_B,93,525500.43,347504.04,11,5.516129032258065,14369.85,0.1183,5650.54
3407245578757321403,"Susan Cowan , MD",Physical Medicine,Obstetrics,Inpatient,HOSP_B,110,525464.55,338217.63,8,5.027272727272727,74321.28,0.0727,4776.95
7647588614085183320,"Patricia Miller , NP",Obstetrics & Gynecology,Cardiology,Ambulatory,HOSP_B,99,523075.00,326879.89,9,5.616161616161616,53187.59,0.0909,5283.59
9147916782336678643,"Amanda Dudley , NP",Anesthesiology,Radiology,Ancillary,HOSP_B,114,521753.03,338011.28,13,5.245614035087719,59268.22,0.114,4576.78
5179721785007116671,"Leah Shields , MD",Emergency Medicine,Physical Therapy,Ambulatory,HOSP_A,109,519213.82,379189.81,7,5.376146788990826,20630.39,0.0642,4763.43
5826653929487097491,"Kathryn Ryan , DO",Orthopedic Surgery,Emergency Department,Emergency,HOSP_B,114,517926.52,337097.21,14,5.728070175438597,32394.54,0.1228,4543.22
194462667438636271,"Joseph Bowers , MD",Family Medicine,Radiology,Ancillary,HOSP_B,88,517046.25,328297.09,11,5.170454545454546,94650.92,0.125,5875.53
2344775703444416529,"David Walker , MD",Radiology,Cardiology,Ambulatory,HOSP_B,84,516525.73,376753.19,3,5.5476190476190474,11462.80,0.0357,6149.12
7536709261123250369,"James Collins , NP",Radiology,Obstetrics,Inpatient,HOSP_B,98,515234.24,354183.83,7,5.979591836734694,17626.51,0.0714,5257.49
3066107153806757642,"George Daniel , PA-C",Cardiology,Radiology,Ancillary,HOSP_B,87,508422.94,312837.62,9,5.172413793103448,103198.37,0.1034,5843.94
3730525779113979561,"Lisa Keith , PA-C",Cardiology,Obstetrics,Inpatient,HOSP_A,105,507303.25,313272.19,7,5.704761904761905,86991.07,0.0667,4831.46
4844562158616628684,"Ronald Smith , MD",Obstetrics & Gynecology,Emergency Department,Emergency,HOSP_B,86,506498.94,281425.51,14,5.732558139534884,102196.63,0.1628,5889.52
1125331794456675764,"Debra Gardner , MD",Anesthesiology,Radiology,Ancillary,HOSP_B,86,506325.23,323699.42,7,5.825581395348837,83688.24,0.0814,5887.50
3730687616055194573,"Anna Baker , MD",Obstetrics & Gynecology,Physical Therapy,Ambulatory,HOSP_B,85,505380.95,373056.40,7,5.729411764705882,28149.37,0.0824,5945.66
9199110086941291012,"Angela Cohen , PA-C",Internal Medicine,Cardiology,Ambulatory,HOSP_A,89,502219.57,354198.45,4,5.629213483146067,54155.19,0.0449,5642.92
7162987516084397702,"Natalie Arroyo , MD",Radiology,Cardiology,Ambulatory,HOSP_A,101,501126.67,234531.78,17,5.069306930693069,164416.01,0.1683,4961.65
6910204186866300750,"Mitchell Clark , MD",Cardiology,Emergency Department,Emergency,HOSP_A,92,499641.87,293419.63,10,5.771739130434782,44102.45,0.1087,5430.89
8444767982275641097,"Selena Duncan , PA-C",Anesthesiology,Physical Therapy,Ambulatory,HOSP_A,97,496999.07,350682.78,9,5.690721649484536,48241.00,0.0928,5123.70
7536371012507392964,"Matthew Chapman , PA-C",General Surgery,Physical Therapy,Ambulatory,HOSP_B,97,490463.15,345044.59,10,5.65979381443299,38416.63,0.1031,5056.32
2074500895473529384,"Shawn Mckay , MD",Radiology,Cardiology,Ambulatory,HOSP_B,108,488186.90,343012.43,11,6.027777777777778,34511.20,0.1019,4520.25
42826393703055767,"Kristin Rodriguez , MD",General Surgery,Obstetrics,Inpatient,HOSP_A,108,486342.27,353610.87,5,5.462962962962963,28298.15,0.0463,4503.17
4555368258918758484,"Jill Rhodes , MD",Cardiology,Emergency Department,Emergency,HOSP_A,105,485969.87,284705.31,11,5.504761904761905,84195.13,0.1048,4628.28
1541901117507029935,"John Garcia , DO",Family Medicine,Physical Therapy,Ambulatory,HOSP_A,114,484007.14,339189.32,12,5.921052631578948,41620.15,0.1053,4245.68
4261825268679284733,"Nicholas Arnold , MD",Cardiology,Orthopedic Surgery,Surgical,HOSP_B,83,481381.47,374261.31,4,5.891566265060241,9782.13,0.0482,5799.78
2416544570055857242,"Lisa Evans , MD",Cardiology,Cardiology,Ambulatory,HOSP_B,96,477269.28,349523.31,9,5.8125,14340.24,0.0938,4971.56
5933948739982497385,"Susan Rogers , MD",Anesthesiology,Cardiology,Ambulatory,HOSP_B,81,472160.82,339154.05,6,6.271604938271605,37885.20,0.0741,5829.15
5739475221189725508,"Joseph Davidson , NP",Radiology,Emergency Department,Emergency,HOSP_B,84,469644.61,318422.54,10,5.238095238095238,46476.48,0.119,5591.01
5664377780089642874,"Michelle Ray , DO",Physical Medicine,Physical Therapy,Ambulatory,HOSP_B,98,458976.05,284571.78,11,5.010204081632653,71032.09,0.1122,4683.43
1514755541445487687,"Robert Johnson , MD",Orthopedic Surgery,Obstetrics,Inpatient,HOSP_B,91,457925.00,260311.66,14,6.549450549450549,72070.69,0.1538,5032.14
6742946122123255548,"Rachel Clark , PA-C",Orthopedic Surgery,Physical Therapy,Ambulatory,HOSP_B,89,456960.88,339197.74,8,5.674157303370786,25410.07,0.0899,5134.39
1913855613609246993,"Erin Herrera , MD",Emergency Medicine,Cardiology,Ambulatory,HOSP_B,85,452483.85,306320.16,6,5.576470588235294,70900.21,0.0706,5323.34
4016528739653519421,"Amy Adkins , DO",Emergency Medicine,Obstetrics,Inpatient,HOSP_B,74,451453.62,285912.86,7,5.324324324324325,26658.83,0.0946,6100.72
2188263022484824988,"Cynthia Diaz , NP",Internal Medicine,Laboratory,Ancillary,HOSP_B,89,449724.47,308635.83,13,6.0,37875.89,0.1461,5053.08
